Method,n_sub,n_probe,Recall,Time (s),Speedup,Storage,Reduction,BW
IVFPQ,8,1,0.442,1.6,22.8×,92 MB,98×,1.2 MB
IVFPQ,8,2,0.526,3.7,9.7×,92 MB,98×,2.3 MB
IVFPQ,8,3,0.556,5.4,6.6×,92 MB,98×,3.3 MB
IVFPQ,8,4,0.575,7.4,4.8×,92 MB,98×,4.4 MB
IVFPQ,8,6,0.592,11.9,3.0×,92 MB,98×,6.7 MB
IVFPQ,8,8,0.601,16.2,2.2×,92 MB,98×,8.4 MB
IVFPQ,8,16,0.611,33.5,1.1×,92 MB,98×,15.2 MB
IVFPQ,8,32,0.612,72.7,0.5×,92 MB,98×,26.0 MB
IVFPQ,16,1,0.519,1.6,22.2×,153 MB,59×,2.0 MB
IVFPQ,16,2,0.639,3.8,9.4×,153 MB,59×,3.7 MB
IVFPQ,16,3,0.689,5.7,6.3×,153 MB,59×,5.5 MB
IVFPQ,16,4,0.722,7.9,4.5×,153 MB,59×,7.4 MB
IVFPQ,16,6,0.748,12.2,2.9×,153 MB,59×,11.1 MB
IVFPQ,16,8,0.763,16.4,2.2×,153 MB,59×,14.1 MB
IVFPQ,16,16,0.777,33.7,1.1×,153 MB,59×,25.2 MB
IVFPQ,16,32,0.777,70.2,0.5×,153 MB,59×,43.4 MB
IVFPQ,32,1,0.565,2.1,16.6×,274 MB,33×,3.7 MB
IVFPQ,32,2,0.706,4.3,8.3×,274 MB,33×,6.8 MB
IVFPQ,32,3,0.774,6.8,5.2×,274 MB,33×,10.0 MB
IVFPQ,32,4,0.821,8.4,4.3×,274 MB,33×,13.3 MB
IVFPQ,32,6,0.862,12.9,2.8×,274 MB,33×,20.1 MB
IVFPQ,32,8,0.887,18.2,2.0×,274 MB,33×,25.5 MB
IVFPQ,32,16,0.908,37.5,1.0×,274 MB,33×,45.5 MB
IVFPQ,32,32,0.911,74.4,0.5×,274 MB,33×,77.9 MB
KNN,-,-,1.000,35.8,1.0×,9023 MB,1.0×,0.0 MB
